"location","organization","program","phone","toll_free","text_only","type"
"100 Mile House","Canadian Mental Health Association - South Cariboo Branch","100 Mile House Safe Home","1-800-563-0808","","","Safe Home"
"Abbotsford","SARA for Women Society","Abbotsford Transition House","604-852-6008","","","Transition House"
"Aldergrove","Ishtar Women's Resource Society","Libra Transition House","604-857-5797","","","Transition House"
"Bella Coola","Nuxalk Transition House Society","Snxlhh or Nuxalk Transition House","1-877-799-0070","1-877-799-0070","","Transition House"
"Burnaby","Dixon Transition Society","Dixon Transition House","604-298-3454","","","Transition House"
"Burns Lake","Prince George and District Elizabeth Fry Society","Eagle's Nest Transition House","250-692-5720","","250-692-7559","Transition House"
"Campbell River","Campbell River and North Island Transition Society","Ann Elmore Transition House","250-286-3666","1-800-667-2188","250-895-1773","Transition House"
"Castlegar","Castlegar Community Services Society","Castlegar Safe Home","250-608-3710","","","Safe Home"
"Chetwynd","South Peace Community Resources Society","Chetwynd Safe Home","250-788-1976","","","Safe Home"
"Chetwynd","The Linda Krystina Housing Society","Linda Krystina Safe House","250-401-8079","","","Safe Home"
"Chilliwack","Ann Davis Transition Society","Ann Davis Transition House","604-792-3116","","604-819-3557","Transition House"
"Chilliwack","Ann Davis Transition Society","Ann Davis Women's Centre","604-391-1993","","604-819-3557","Transition House"
"Chilliwack","Wilma's Transition Society","Wilma's Transition House","604-858-0468","1-888-558-0468","","Transition House"
"Clearwater","Yellowhead Community Services Society","Clearwater Safe Home","250-674-2135","1-855-674-2135","","Safe Home"
"Coquitlam","Tri-City Transitions Society","Joy's Place","604-492-1700","1-800-563-0808","","Transition House"
"Courtenay","Comox Valley Transition Society","Lilli House","250-338-1227","","250-218-4034","Transition House"
"Cranbrook","Canadian Mental Health Association for the Kootenays","Kootenay Haven Transition House","250-426-4887","1-800-200-3003","","Transition House"
"Creston","Kootenai Community Centre Society","Irvine House Safe Home Program","250-428-6856","","250-402-0068","Safe Home"
"Dawson Creek","South Peace Community Resources Society","Mizpah Transition House","250-782-9176","","","Transition House"
"Delta","W.I.N.G.S. Fellowship Ministries (Women in Need Gaining Strength)","Azure Place","604-957-1556","","","Transition House"
"Duncan","Cowichan Women Against Violence Society","Somenos Transition House","250-748-8544","","250-701-1563","Transition House"
"Duncan","Hiiye'yu Lelum (House of Friendship) Society","Lelum 'u tu S'tsa'-elh teyten (House of Honorable Mothers)","250-732-7788","","250-748-2242","Transition House"
"Elkford","Elkford Women's Task Force Society","Elk Valley Women's Transition House","250-946-6004","","","Transition House"
"Fort Nelson","Fort Nelson Aboriginal Friendship Society","FNAFS Women's Transition House","250-774-4742","","250-774-2993","Transition House"
"Fort St. James","Fireweed Collective Society","Fireweed Safe Haven","250-996-8000","","","Transition House"
"Fort St. John","North Peace Community Resources Society","Meaope Transition House","250-785-5208","","250-785-6021","Transition House"
"Gold River","Campbell River and North Island Transition Society","Gold River Safe Home","250-286-3666","1-800-667-2188","","Safe Home"
"Golden","Golden Women's Centre Society","Golden Safe Home","250-344-2101","","250-344-5317","Safe Home"
"Grand Forks","Boundary Women's Coalition","Boundary Women's Transition House","250-442-3131","1-855-441-3131","","Transition House"
"Hazelton","Northern Society for Domestic Peace","Cedar Rose","778-641-4445","","","Transition House"
"Hope","Cedar Strong Prevention and Intervention Society","Jean Scott Transition House","604-869-5191","1-877-869-5191","604-869-1872","Transition House"
"Invermere","Family Dynamix Association","Women's Information and Safe Home (WISH)","250-342-5566","1-800-200-3003","250-341-3963","Safe Home"
"Kamloops","YWCA BC","Y Women's Emergency Shelter","250-374-6162","","250-682-7931","Transition House"
"Kaslo","Kaslo Community Services Society","Kaslo Safe Home","250-353-7691","","250-354-4357","Safe Home"
"Kelowna","Central Okanagan Emergency Shelter Society","Kelowna Women's Shelter","250-763-1040","","236-970-0704","Transition House"
"Kitimat","The Tamitik Status of Women Association","Dunmore Place","250-632-6070","","","Transition House"
"Langley","Ishtar Women's Resource Society","Ishtar Transition House","604-530-9442","","","Transition House"
"Lower Post","Lower Post Housing Society","Sa-Koh Housing","250-779-3078","","","Transition House"
"Lil'wat Nation","Hans Knakst Tsitxw Society","Stqaka7st?mc ? Hold my hand Lil'wat Nation Transition House","604-384-7247","1-833-512-0664","","Transition House"
"Lillooet","Lillooet Friendship Centre Society","Lillooet Safe Home","250-256-4146","","","Safe Home"
"Lytton","Hans Knakst Tsitxw Society","Helping Hands Transition House","778-254-0217","1-800-318-4455","778-254-8582","Transition House"
"Mackenzie","Mackenzie Counselling Services Society","Jonduh Wuts'uh ""From Here On"" (Safe Home)","250-997-6595","","","Safe Home"
"Maple Ridge","Cythera Transition House Society","Cythera Transition House","604-467-9966","","","Transition House"
"Massett","Haida Gwaii Society for Community Peace","Tlaa Juuhldaa Naay Transition House","250-626-4666","1-877-626-4677","250-626-9163","Transition House"
"Mission","SARA for Women Society","Mission Transition House","604-826-7800","","","Transition House"
"Nakusp","Arrow and Slocan Lakes Community Services","Nakusp Safe Home","250-265-1843","","","Safe Home"
"Nanaimo","Haven Society","Haven House","250-756-0616","1-888-756-0616","250-756-2452","Transition House"
"Nanaimo","Snuneymuxw First Nation","Cedar Woman House","250-591-5580","","","Transition House"
"Nelson","The Nelson Community Service Society","Aimee Beaulieu Transition House","250-354-4357","","778-608-3900","Transition House"
"New Westminster","W.I.N.G.S. Fellowship Ministries (Women in Need Gaining Strength)","Monarch Place","604-521-1888","","","Transition House"
"North Vancouver","North Shore Crisis Services Society","Sage Transition House","604-987-3374","","","Transition House"
"Oliver","Desert Sun Counselling & Resource Centre Society","Cindy Taylor Safe Home","250-485-7777","","250-498-2538","Safe Home"
"Parksville","Haven Society","Parksville Safe Home","250-586-4718","1-888-756-0616","250-756-0616","Safe Home"
"Pemberton","PearlSpace Support Services Society","Pearl's Safe Home","604-892-5711","1-877-890-5711","","Safe Home"
"Penticton","South Okanagan Women in Need Society","Hughes House","250-493-7233","1-800-814-2033","","Transition House"
"Penticton (on-reserve)","Okanagan Nation Family Intervention and Services Society","Okanagan Nation Emergency Transition House","250-493-4902","1-877-493-4909","","Transition House"
"Port Alberni","Huu-ay-aht First Nations","Oomiiqsu","250-736-5066","","","Transition House"
"Port Alberni","Sage Haven Society","Port Alberni Transition House","250-724-2223","","250-206-1011","Transition House"
"Port Hardy","North Island Crisis and Counselling Centre Society","Port Hardy Safe Home","250-230-1647","","250-949-8333","Safe Home"
"Powell River","Powell River and Region Transition House Society","Grace House","604-485-9773","","604-485-5335","Transition House"
"Prince George","Carrier Sekani Family Services","Dzee Ba'yugh Safe House (Heart House)","778-924-0004","","","Safe Home"
"Prince George","Phoenix Transition Society","Harmony House Prince George","236-423-3335","","","Transition House"
"Prince George","Phoenix Transition Society","Phoenix Transition House","250-563-7305","","","Transition House"
"Prince George","Prince George and District Elizabeth Fry Society","Amber House","250-562-5868","1-866-563-1113","","Transition House"
"Prince Rupert","North Coast Transition Society","Ravens Keep Transition House","250-627-8588","","250-600-1983","Transition House"
"Princeton","Princeton Family Services Society","Cindy Parolin Safe Home","250-295-8211","","250-295-3126","Safe Home"
"Quesnel","Amata Transition House Society","Amata Transition House","250-992-3385","","250-992-7321","Transition House"
"Revelstoke","Revelstoke Women's Shelter Society","Forsythe House - A Safe Place","250-837-1111","","250-837-4382","Transition House"
"Richmond","Chimo Community Services Society","Nova Transition House","604-270-4911","877-374-0742","","Transition House"
"Salmo","Salmo Community Resource Society","Salmo Safe Home","250-357-2277","","","Safe Home"
"Salmon Arm","Shuswap Area Family Emergency Society","Shuswap & Area Women's Shelter","250-832-9616","","","Transition House"
"Salt Spring Island","Islanders Working Against Violence Society","Salt Spring Island Transition House","250-537-0735","1-877-435-7544","","Transition House"
"Sechelt","Sunshine Coast Community Services Society","Yew Transition House","604-885-2944","1-877-885-2949","604-885-5128","Transition House"
"Smithers","Northern Society for Domestic Peace","Passage Transition House","250-847-2595","","","Transition House"
"Sooke","Sooke Transition House Society","Annie's Place","250-642-2591","","778-966-2591","Transition House"
"South Surrey","Atira Women's Resource Society","Ama House for Older Women","604-542-5992","","","Transition House"
"Squamish","PearlSpace Support Services Society","Pearl's Place Transition House","604-892-5711","1-877-890-5711","","Transition House"
"Surrey","Atira Women's Resource Society","Shimai Transition House","604-581-9100","","","Transition House"
"Surrey","Atira Women's Resource Society","Maxxine Wright Shelter","604-619-9188","","","Transition House"
"Surrey/Newton","Options Community Services Society","Virginia Sam Transition House","604-572-5116","","","Transition House"
"Surrey/Whalley","Options Community Services Society","Evergreen Transition House","604-584-3301","","","Transition House"
"Telegraph Creek (on-reserve)","Tahltan Health and Social Services Authority","Three Sisters Haven House","250-235-3120","1-888-414-2836","","Transition House"
"Terrace","Ksan House Society","'Ksan House","250-635-6447","","250-641-7233","Transition House"
"Trail","Trail Family and Individual Resource Centre Society","WINS Transition House","250-364-1543","","250-364-2326","Transition House"
"Tumbler Ridge","South Peace Community Resources Society","Tumbler Ridge Safe Home","250-242-8208","","","Safe Home"
"Ucluelet","Westcoast Community Resources Society","Westcoast Transition House","250-726-2020","1-877-726-2080","250-266-0187","Transition House"
"Valemount","Robson Valley Community Services Society","Ada's Place","1-844-324-2004","","","Transition House"
"Valemount","Robson Valley Community Services Society","McBride Safe Home","1-844-324-2004","","250-569-2266","Safe Home"
"Vancouver","Atira Women's Resource Society","Katherine's House","778-984-2021","","604-531-6314","Transition House"
"Vancouver","Atira Women's Resource Society","Pierce House","604-267-9131","","","Transition House"
"Vancouver","Governing Council of the Salvation Army in Canada","Deborah's Gate","604-347-9500","","","Transition House"
"Vancouver","Governing Council of the Salvation Army in Canada","Kate Booth House","604-872-7774","","604-872-0772","Transition House"
"Vancouver","Helping Spirit Lodge Society","Helping Spirit Lodge","604-872-6649","","604-325-2171","Transition House"
"Vancouver","Nisa Foundation","Nisa Home","1-888-456-8043 ext. 402","","","Transition House"
"Vancouver","The Kettle Friendship Society","Peggy's Place","604-430-5202","","","Transition House"
"Vancouver","Vancouver Rape Relief Society","Vancouver Rape Relief & Women's Shelter","604-872-8212","","","Transition House"
"Vanderhoof","Omineca Safe Home Society","Joy Aitkens Safe Home","250-567-9512","","250-567-9959","Safe Home"
"Vernon","Archway Society for Domestic Peace","Vernon Women's Transition House","250-542-1122","","","Transition House"
"Victoria","Cridge Centre for the Family","Cridge Transition House for Women","250-479-3963","","","Transition House"
"Victoria","Victoria Women's Transition House Society","Older Women's Safe Home","250-385-6611","","250-592-2927","Safe Home"
"Victoria","Victoria Women's Transition House Society","Victoria Women's Transition House","250-385-6611","","250-592-2927","Transition House"
"Watson Lake (Yukon - also serves Northern BC)","Help and Hope for Families Society","Help and Hope Transition House","867-536-7233","","","Transition House"
"West Kelowna","Central Okanagan Emergency Shelter Society","West Kelowna Second Stage","250-763-1040","","236-970-0704","Transition House"
"Westshore","Victoria Women's Transition House Society","Westshore Safe House","250-385-6611","","","Safe House"
"Whistler","PearlSpace Support Services Society","Maries Safe Home","1-877-890-5711","1-877-890-5711","","Safe House"
"White Rock","Atira Women's Resource Society","Durrant House","604-531-9151","","","Transition House"
"Williams Lake","Cariboo Friendship Society","Chiwid Transition House","250-398-5658","","250-398-6831","Transition House"
